Order Date,Region,Category,Sales,Profit
2024-06-21,West,Technology,1272.15,379.41
2024-08-16,West,Technology,192.14,17.59
2024-10-31,Central,Furniture,1258.84,246.83
2024-05-23,Central,Technology,2301.38,148.36
2024-12-23,East,Technology,674.39,65.44
2024-03-30,East,Office Supplies,539.22,75.54
2024-08-15,South,Technology,1292.2,164.6
2024-07-30,Central,Office Supplies,275.04,18.99
2024-03-22,East,Furniture,1839.16,130.0
2024-10-12,South,Office Supplies,62.47,9.0
2024-03-05,East,Technology,911.65,216.42
2024-08-04,South,Technology,2013.93,336.68
2024-04-08,West,Office Supplies,159.96,35.66
2024-07-15,South,Technology,1338.37,324.22
2024-06-13,South,Furniture,489.76,49.59
2024-01-01,South,Technology,558.0,121.6
2024-10-14,West,Office Supplies,54.15,9.45
2024-04-27,South,Office Supplies,1634.61,477.3
2024-08-09,South,Furniture,965.29,149.75
2024-08-16,Central,Technology,520.56,43.78
2024-09-08,South,Technology,1532.31,289.15
2024-11-03,East,Furniture,1821.84,226.8
2024-04-15,South,Technology,363.21,102.3
2024-11-25,South,Office Supplies,101.26,20.78
2024-07-23,West,Furniture,689.71,127.12
2024-05-30,West,Office Supplies,286.27,60.18
2024-12-25,Central,Furniture,1749.89,312.9
2024-06-08,West,Office Supplies,91.33,8.42
2024-04-01,East,Office Supplies,1101.94,202.32
2024-01-12,West,Furniture,1011.8,225.23
2024-03-13,West,Furniture,1378.69,245.29
2024-04-16,South,Office Supplies,560.99,141.12
2024-04-22,Central,Technology,1293.38,363.45
2024-01-14,Central,Furniture,930.44,220.39
2024-01-14,West,Office Supplies,1377.46,359.67
2024-12-28,East,Office Supplies,900.35,164.9
2024-01-15,West,Technology,447.29,85.43
2024-09-29,West,Office Supplies,248.33,67.7
2024-07-30,East,Furniture,1301.16,221.06
2024-08-15,East,Furniture,1493.42,235.83
2024-03-23,East,Office Supplies,1800.3,363.46
2024-11-10,South,Technology,578.5,43.65
2024-07-16,East,Furniture,1703.13,122.58
2024-12-15,West,Technology,203.6,36.88
2024-02-09,Central,Technology,2153.11,417.7
2024-03-15,South,Technology,627.87,58.22
2024-03-02,South,Furniture,1147.51,137.7
2024-10-26,West,Technology,1709.75,170.76
2024-01-20,West,Office Supplies,1225.13,149.66
2024-10-19,East,Technology,777.69,154.35
2024-06-26,East,Furniture,1102.35,110.71
2024-06-16,South,Office Supplies,1366.19,327.96
2024-02-07,East,Office Supplies,1859.76,479.18
2024-08-23,East,Technology,2378.34,240.81
2024-02-04,South,Technology,126.85,31.13
2024-09-23,South,Office Supplies,335.68,30.57
2024-01-05,West,Technology,2179.98,281.32
2024-02-11,East,Technology,1060.65,152.98
2024-06-27,Central,Furniture,883.1,171.65
2024-05-24,South,Furniture,1091.67,301.98
2024-02-08,West,Technology,1510.97,202.06
2024-01-15,South,Furniture,1485.51,287.13
2024-06-05,West,Office Supplies,504.49,119.05
2024-09-10,West,Technology,1191.63,284.39
2024-04-27,South,Office Supplies,1694.44,138.73
2024-07-02,East,Furniture,977.85,148.87
2024-06-21,Central,Technology,1669.15,309.93
2024-10-25,Central,Technology,2302.27,312.26
2024-05-13,East,Furniture,1895.09,167.41
2024-05-20,West,Office Supplies,519.47,120.27
2024-06-19,South,Furniture,1396.34,391.85
2024-11-23,Central,Technology,906.15,60.92
2024-02-20,Central,Technology,2222.26,361.58
2024-10-28,West,Office Supplies,380.78,98.76
2024-01-01,South,Furniture,1186.64,177.7
2024-11-04,East,Technology,23.06,3.08
2024-03-03,East,Technology,2216.03,368.8
2024-12-12,East,Office Supplies,910.35,77.57
2024-05-31,Central,Office Supplies,77.42,9.9
2024-10-11,Central,Technology,43.27,9.34
2024-12-02,South,Office Supplies,835.1,59.57
2024-07-07,West,Office Supplies,626.77,93.6
2024-07-29,East,Furniture,1253.7,181.07
2024-05-23,Central,Office Supplies,1553.3,253.69
2024-07-12,East,Furniture,999.05,241.11
2024-05-11,West,Technology,2271.32,325.54
2024-06-10,East,Office Supplies,320.74,73.45
2024-12-14,East,Furniture,515.24,51.02
2024-09-11,West,Office Supplies,1601.83,151.59
2024-04-06,Central,Technology,1935.09,575.07
2024-10-14,South,Technology,960.47,208.44
2024-08-10,East,Office Supplies,1270.15,297.18
2024-03-25,West,Office Supplies,1170.25,181.81
2024-01-02,South,Technology,814.05,208.62
2024-07-13,Central,Office Supplies,1252.06,190.75
2024-08-09,East,Technology,536.19,157.45
2024-12-29,West,Technology,1175.99,321.8
2024-05-07,West,Furniture,1029.79,242.43
2024-08-24,East,Office Supplies,1293.66,201.07
2024-06-02,East,Office Supplies,551.89,30.13
2024-05-25,East,Technology,1201.44,80.25
2024-06-13,Central,Technology,504.93,26.63
2024-01-27,South,Technology,1438.62,287.91
2024-11-04,West,Technology,1012.02,147.54
2024-05-01,East,Furniture,1917.67,184.27
2024-06-29,Central,Office Supplies,784.7,95.87
2024-06-12,Central,Office Supplies,1137.15,192.19
2024-04-20,South,Office Supplies,972.67,114.27
2024-08-26,West,Furniture,112.34,19.56
2024-12-30,West,Technology,1144.48,155.76
2024-10-22,Central,Furniture,1379.92,219.0
2024-02-08,West,Office Supplies,14.66,4.28
2024-04-11,Central,Furniture,192.25,53.7
2024-01-17,South,Furniture,378.41,70.19
2024-08-03,South,Technology,1824.58,421.53
2024-07-16,South,Technology,1556.24,347.5
2024-12-30,Central,Office Supplies,1180.64,354.0
2024-10-08,Central,Technology,93.06,20.88
2024-05-16,West,Office Supplies,849.31,211.34
2024-08-10,South,Technology,774.01,199.1
2024-09-29,Central,Furniture,1125.75,191.68
2024-05-10,Central,Office Supplies,1452.29,96.34
2024-01-15,South,Furniture,1326.69,311.06
2024-06-09,South,Technology,568.31,31.88
2024-06-18,South,Office Supplies,379.09,55.34
2024-04-05,South,Technology,849.5,205.41
2024-11-13,East,Technology,2098.34,621.15
2024-09-22,West,Office Supplies,1049.81,244.68
2024-06-25,West,Furniture,581.61,72.16
2024-10-19,West,Office Supplies,1975.57,310.05
2024-10-31,East,Office Supplies,1913.27,477.36
2024-07-16,South,Technology,1446.71,399.19
2024-08-13,West,Technology,565.23,161.48
2024-03-03,West,Technology,299.37,18.48
2024-11-08,West,Office Supplies,1561.37,214.74
2024-09-17,Central,Office Supplies,1041.34,207.56
2024-08-28,West,Furniture,1518.89,340.24
2024-08-03,South,Furniture,1249.65,296.13
2024-03-29,Central,Furniture,192.06,51.73
2024-11-18,West,Furniture,98.31,25.86
2024-06-18,South,Technology,1327.45,95.24
2024-05-03,East,Office Supplies,1449.61,252.19
2024-02-06,West,Technology,193.8,50.93
2024-02-09,South,Furniture,1813.96,349.79
2024-02-09,Central,Furniture,541.39,145.99
2024-05-26,South,Office Supplies,323.11,29.11
2024-09-25,South,Technology,1636.18,334.85
2024-07-06,West,Technology,2093.96,120.01
2024-01-23,West,Technology,557.96,154.65
2024-03-22,South,Technology,1223.83,63.15
2024-08-11,West,Office Supplies,1124.09,88.76
2024-12-19,Central,Furniture,1561.89,119.87
2024-03-14,East,Technology,948.46,89.98
2024-02-06,West,Technology,1654.67,110.8
2024-08-06,West,Technology,1704.07,286.95
2024-01-22,Central,Office Supplies,1744.36,511.75
2024-10-11,East,Technology,1431.42,208.85
2024-01-29,West,Office Supplies,982.4,238.33
2024-02-27,West,Office Supplies,942.39,269.6
2024-04-08,East,Office Supplies,1591.67,355.61
2024-10-14,West,Technology,1574.97,186.34
2024-12-02,South,Office Supplies,1465.23,406.43
2024-12-22,Central,Furniture,555.69,164.48
2024-09-13,East,Technology,1793.06,179.47
2024-10-07,Central,Furniture,948.35,176.21
2024-02-29,West,Technology,1866.51,453.06
2024-06-22,East,Office Supplies,1595.63,197.13
2024-01-24,South,Technology,1914.13,326.13
2024-07-24,Central,Technology,603.13,114.36
2024-11-14,Central,Office Supplies,1184.63,187.54
2024-03-04,East,Office Supplies,154.17,22.84
2024-04-04,Central,Technology,1819.86,524.41
2024-09-23,East,Office Supplies,491.67,145.86
2024-06-08,West,Furniture,428.6,58.51
2024-08-29,East,Furniture,184.85,25.45
2024-03-17,West,Furniture,274.1,52.6
2024-06-22,Central,Technology,110.35,24.01
2024-12-25,Central,Technology,87.43,24.83
2024-12-24,Central,Office Supplies,1871.05,536.69
2024-12-13,South,Office Supplies,1631.5,114.25
2024-03-24,Central,Furniture,1569.83,267.23
2024-05-06,East,Technology,206.93,13.47
2024-03-27,Central,Furniture,1235.33,163.38
2024-08-25,East,Office Supplies,1581.5,339.51
2024-11-02,West,Office Supplies,1309.99,174.33
2024-11-07,South,Technology,488.51,107.5
2024-04-02,East,Office Supplies,1682.5,157.4
2024-07-31,Central,Technology,1028.08,140.32
2024-12-29,South,Furniture,1091.17,194.77
2024-04-14,East,Technology,1174.17,315.1
2024-09-18,Central,Technology,689.84,96.43
2024-05-10,Central,Technology,1762.67,146.11
2024-01-08,East,Technology,1522.51,218.04
2024-01-02,West,Technology,1187.56,132.78
2024-11-11,East,Furniture,1163.04,250.82
2024-08-18,West,Furniture,1939.13,222.1
2024-08-16,West,Furniture,1201.44,179.21
2024-10-29,West,Technology,1067.55,141.69
2024-04-02,East,Technology,1040.96,116.77
2024-06-19,South,Office Supplies,724.91,105.0
2024-04-16,Central,Technology,1145.42,299.0
2024-02-13,East,Technology,1344.84,248.76
2024-11-29,West,Furniture,1873.85,112.12
2024-04-28,West,Office Supplies,186.23,14.12
2024-06-27,West,Office Supplies,1973.39,574.81
2024-10-25,West,Office Supplies,1946.46,379.61
2024-07-02,East,Furniture,1337.06,113.53
2024-05-05,East,Technology,494.03,107.88
2024-12-06,West,Technology,1071.68,286.18
2024-03-26,West,Technology,2348.97,337.25
2024-04-23,West,Technology,2076.69,502.83
2024-11-23,South,Technology,1446.26,412.5
2024-05-21,East,Technology,266.54,57.16
2024-07-10,West,Technology,983.7,263.33
2024-03-13,West,Office Supplies,227.13,48.29
2024-04-11,East,Technology,1941.14,466.98
2024-10-05,East,Technology,299.06,55.66
2024-03-29,East,Technology,1468.28,280.24
2024-11-11,East,Furniture,1095.92,176.56
2024-04-11,West,Technology,1607.69,329.37
2024-09-21,East,Technology,1251.57,212.51
2024-04-26,South,Office Supplies,306.49,55.68
2024-10-26,East,Furniture,1103.33,261.18
2024-12-29,South,Office Supplies,399.6,20.74
2024-10-29,West,Technology,1575.41,228.46
2024-11-19,South,Furniture,211.83,36.32
2024-02-21,Central,Technology,1283.04,250.49
2024-04-15,Central,Technology,663.03,101.7
2024-12-10,East,Office Supplies,1720.24,429.97
2024-06-07,Central,Office Supplies,1138.95,130.0
2024-02-05,East,Office Supplies,1633.34,234.18
2024-06-21,Central,Technology,1448.65,369.11
2024-08-01,Central,Technology,1556.09,145.8
2024-04-30,South,Technology,855.97,93.49
2024-10-19,East,Technology,2044.6,445.43
2024-12-10,West,Technology,1090.82,214.51
2024-06-23,West,Technology,1141.27,209.81
2024-05-29,West,Technology,1461.74,272.87
2024-05-17,West,Technology,151.59,12.95
2024-11-15,West,Technology,977.51,153.52
2024-06-15,Central,Office Supplies,688.77,175.41
2024-03-08,Central,Furniture,555.58,38.81
2024-08-19,Central,Furniture,808.36,114.58
2024-03-10,East,Office Supplies,1042.93,69.78
2024-01-05,West,Technology,659.5,130.71
2024-03-07,East,Office Supplies,672.67,146.22
2024-08-02,East,Furniture,1991.01,321.72
2024-04-25,West,Furniture,1915.67,179.74
2024-10-13,South,Office Supplies,824.86,128.41
2024-02-24,South,Office Supplies,1333.17,331.78
2024-05-23,East,Office Supplies,1948.59,107.19
2024-12-25,South,Office Supplies,1346.4,98.6
2024-08-18,South,Technology,1222.33,109.8
2024-05-21,West,Office Supplies,689.93,100.2
2024-09-14,South,Furniture,617.99,92.23
2024-06-02,Central,Furniture,1839.59,320.53
2024-12-07,Central,Furniture,1007.29,150.38
2024-06-14,South,Furniture,1757.17,469.19
2024-05-13,West,Office Supplies,1639.28,214.14
2024-06-11,West,Technology,838.49,246.43
2024-09-12,South,Furniture,963.92,123.8
2024-04-04,East,Technology,1838.37,172.27
2024-01-25,Central,Office Supplies,961.69,169.76
2024-03-19,South,Furniture,1931.99,305.49
2024-05-20,South,Technology,675.27,177.5
2024-06-08,West,Technology,1564.68,137.7
2024-01-05,South,Furniture,125.75,37.56
2024-09-09,Central,Office Supplies,866.37,80.28
2024-05-28,West,Office Supplies,211.08,47.08
2024-09-08,Central,Technology,558.6,60.42
2024-11-03,West,Technology,2037.06,470.72
2024-04-25,East,Technology,857.92,155.61
2024-01-14,West,Furniture,1928.01,216.22
2024-03-02,East,Office Supplies,527.03,126.53
2024-11-09,West,Technology,784.52,202.86
2024-07-31,West,Office Supplies,94.84,13.55
2024-07-06,Central,Furniture,539.38,47.09
2024-07-14,South,Office Supplies,1306.9,330.22
2024-08-08,East,Furniture,1572.18,429.24
2024-04-14,West,Technology,2263.48,570.9
2024-02-17,West,Technology,103.76,28.58
2024-10-03,South,Furniture,778.83,126.58
2024-03-19,South,Furniture,1766.09,134.97
2024-03-27,Central,Office Supplies,178.74,40.95
2024-04-18,South,Office Supplies,80.79,14.31
2024-08-19,East,Office Supplies,705.91,172.0
2024-01-28,East,Furniture,1103.74,284.36
2024-01-08,West,Office Supplies,173.52,50.66
2024-08-10,South,Office Supplies,1952.22,423.31
2024-02-18,West,Office Supplies,147.82,42.86
2024-04-28,West,Technology,1919.33,236.47
2024-09-14,Central,Furniture,1498.67,379.08
2024-08-13,West,Office Supplies,1856.89,197.12
2024-06-01,East,Furniture,783.42,71.23
2024-07-31,Central,Furniture,35.3,10.52
2024-05-01,South,Technology,2033.48,568.83
2024-01-18,Central,Office Supplies,1957.01,463.91
2024-08-25,South,Technology,435.7,81.15
2024-08-22,West,Furniture,1458.61,112.29
2024-07-31,Central,Technology,521.87,92.09
2024-03-28,East,Furniture,1518.79,358.22
2024-01-03,West,Furniture,1380.88,370.53
2024-10-07,South,Office Supplies,928.5,48.59
2024-05-08,Central,Technology,675.63,66.54
2024-11-15,South,Office Supplies,1114.62,260.0
2024-08-18,Central,Technology,908.12,167.71
2024-03-26,South,Technology,2000.44,105.54
2024-04-30,South,Furniture,660.59,57.62
2024-03-10,South,Technology,891.52,144.56
2024-01-20,South,Office Supplies,284.27,61.33
2024-11-05,Central,Office Supplies,1242.98,172.62
2024-02-26,East,Furniture,1749.78,310.63
2024-01-03,West,Furniture,1127.35,214.38
2024-09-10,East,Furniture,1208.27,67.34
2024-10-31,Central,Office Supplies,1393.88,329.63
2024-11-09,Central,Technology,1247.24,199.62
2024-08-15,West,Technology,575.23,82.17
2024-04-22,Central,Technology,2396.05,678.75
2024-10-27,West,Technology,1196.85,113.18
2024-07-16,South,Technology,1779.09,511.63
2024-11-20,West,Furniture,675.68,38.21
2024-04-22,Central,Furniture,1398.36,394.9
2024-02-20,South,Office Supplies,865.02,231.98
2024-12-14,East,Furniture,876.01,249.08
2024-12-21,West,Office Supplies,1458.6,253.96
2024-05-08,South,Office Supplies,123.99,13.18
2024-12-29,West,Technology,1580.81,457.1
2024-12-29,West,Office Supplies,558.68,66.43
2024-09-26,West,Office Supplies,1521.2,247.1
2024-07-23,West,Office Supplies,1707.65,105.23
2024-12-03,South,Office Supplies,1069.52,163.39
2024-01-07,West,Office Supplies,1467.57,274.55
2024-05-22,South,Furniture,1657.46,409.27
2024-05-21,Central,Technology,624.59,133.38
2024-08-05,West,Office Supplies,624.31,179.03
2024-06-09,West,Office Supplies,509.42,133.8
2024-10-15,East,Office Supplies,1721.68,397.2
2024-06-17,South,Furniture,1229.67,131.01
2024-04-07,East,Office Supplies,1891.94,496.62
2024-03-06,West,Technology,1110.87,263.63
2024-03-16,West,Furniture,1614.74,266.13
2024-07-10,South,Furniture,686.16,183.91
2024-06-02,East,Technology,1252.29,126.76
2024-07-31,Central,Office Supplies,518.43,148.61
2024-06-16,South,Technology,76.88,5.1
2024-09-10,East,Office Supplies,787.55,196.56
2024-06-15,Central,Technology,920.44,224.5
2024-11-02,West,Office Supplies,197.13,27.43
2024-10-23,Central,Technology,1917.42,285.68
2024-08-25,East,Office Supplies,1394.84,346.36
2024-09-19,Central,Furniture,1795.4,165.56
2024-08-07,West,Office Supplies,1789.04,382.09
2024-04-16,East,Technology,2323.0,613.78
2024-05-16,South,Furniture,1934.58,298.78
2024-01-21,Central,Office Supplies,1994.19,588.18
2024-02-28,West,Office Supplies,1123.91,204.38
2024-10-07,South,Office Supplies,764.26,224.21
2024-09-21,South,Furniture,1423.38,183.03
2024-12-29,East,Furniture,993.48,255.39
2024-10-12,West,Technology,1984.44,149.15
2024-06-11,West,Office Supplies,906.2,214.96
2024-10-05,Central,Furniture,1684.48,282.69
2024-09-27,West,Office Supplies,1481.2,113.44
2024-09-04,West,Office Supplies,1712.92,182.93
2024-09-03,West,Technology,1669.63,297.47
2024-10-20,East,Office Supplies,1528.68,232.48
2024-05-21,South,Office Supplies,1616.72,104.72
2024-07-25,West,Technology,1613.71,306.78
2024-03-31,East,Furniture,461.19,67.06
2024-07-08,East,Technology,276.4,43.02
2024-10-07,East,Office Supplies,1932.82,158.23
2024-03-23,South,Technology,1681.97,437.09
2024-06-21,South,Technology,739.75,190.37
2024-10-01,South,Office Supplies,1410.34,261.16
2024-10-12,West,Furniture,574.82,147.23
2024-11-04,West,Office Supplies,1488.95,92.37
2024-03-08,South,Technology,801.01,108.22
2024-04-29,West,Office Supplies,486.63,121.0
2024-06-06,East,Office Supplies,1580.43,305.56
2024-05-28,West,Technology,1442.36,113.56
2024-07-19,South,Technology,1992.34,537.42
2024-03-05,West,Technology,208.31,57.84
2024-06-22,South,Technology,2143.35,344.75
2024-08-19,South,Furniture,1579.72,331.59
2024-11-06,East,Office Supplies,775.18,133.27
2024-12-07,West,Office Supplies,951.07,281.48
2024-03-12,Central,Office Supplies,516.24,72.51
2024-09-24,Central,Technology,582.39,97.5
2024-04-02,East,Technology,1133.75,183.52
2024-12-05,West,Furniture,20.96,1.09
2024-07-08,South,Technology,692.36,114.73
2024-09-01,Central,Furniture,594.04,168.08
2024-09-21,South,Office Supplies,1638.23,299.63
2024-02-28,East,Technology,1190.59,268.56
2024-05-26,East,Technology,406.51,59.95
2024-01-19,East,Technology,1717.11,346.82
2024-08-27,West,Technology,2290.23,527.55
2024-06-01,Central,Office Supplies,522.64,33.91
2024-06-23,South,Office Supplies,1333.93,333.6
